id,name_actor,birthday,gender
945428,Ju Jin-mo                                                                                                                                             ,1958-02-26,2
2159886,Lee Yun-hui                                                                                                                                           ,1960-01-28,2
3029687,Dawon                                                                                                                                                 ,1995-07-24,2
1015873,Son Hyun-joo                                                                                                                                          ,1965-06-24,2
1093223,Lee Bo-hee                                                                                                                                            ,1959-05-25,1
587675,Yoo Yeon-seok                                                                                                                                         ,1984-04-11,2
1574598,Baekhyun                                                                                                                                              ,1992-05-06,2
2056748,Kang Yu-mi                                                                                                                                            ,1983-05-17,1
1547199,Hong Jin-young                                                                                                                                        ,1985-08-09,1
109060,Kang Shin-il                                                                                                                                          ,1960-11-26,2
77281,Yoon Soy                                                                                                                                              ,1985-01-05,1
84788,Kim Moo-yul                                                                                                                                           ,1982-05-22,2
3038166,Lim Sung-kyun                                                                                                                                         ,1996-03-20,2
1713025,Jang Dong-yoon                                                                                                                                        ,1992-07-12,2
1155304,Kim C                                                                                                                                                 ,1971-11-15,2
84856,Jung Woon-taek                                                                                                                                        ,1975-07-05,2
1330423,Kim Dae-myung                                                                                                                                         ,1980-12-16,2
1855432,Jeon Seong-woo                                                                                                                                        ,1987-12-30,2
2150704,Kim Ki-doo                                                                                                                                            ,1982-10-25,2
2987023,Han Ji-hyun                                                                                                                                           ,1996-03-21,1
2377695,Bae Hyeon-seong                                                                                                                                       ,1999-05-03,2
1299358,Soo Ae                                                                                                                                                ,1979-07-25,1
1302925,Kim Chung                                                                                                                                             ,1962-06-01,1
2265560,Lee Ho-jung                                                                                                                                           ,1997-01-20,1
1108037,Im Se-mi                                                                                                                                              ,1987-05-29,1
1180419,Jang Won-young                                                                                                                                        ,1974-11-05,2
1721362,Baek Soo-min                                                                                                                                          ,1993-10-15,1
2169916,Yoon Ji-on                                                                                                                                            ,1995-05-19,2
139498,Rie Young-zin                                                                                                                                         ,1981-02-24,1
1528085,Yoon Bo-mi                                                                                                                                            ,1993-08-13,1
570002,Bong Tae-gyu                                                                                                                                          ,1981-05-19,2
2306987,Jung Hyeon-jun                                                                                                                                        ,2011-11-08,2
1256347,Kim Min-seok                                                                                                                                          ,1990-01-24,2
21689,Ko A-sung                                                                                                                                             ,1992-08-10,1
230362,Jo Deok-hyeon                                                                                                                                         ,1967-05-29,2
2878774,Lee Sang-hong                                                                                                                                         ,1977-02-27,2
1621349,Jung Jong-chul                                                                                                                                        ,1977-06-27,2
2122115,Chung Yoon-hye                                                                                                                                        ,1990-04-14,1
2128181,Jung Young-sook                                                                                                                                       ,1947-04-01,1
2094413,Kim Ki-Moo                                                                                                                                            ,1978-05-18,2
3206679,Jang Sung-yoon                                                                                                                                        ,1998-02-17,1
3685609,Kim Moo Young                                                                                                                                         ,1987-01-01,2
1337780,Byun Yo-han                                                                                                                                           ,1986-04-29,2
552067,Kim Tae-Hoon                                                                                                                                          ,1975-05-26,2
2900006,Choi Hyo-eun                                                                                                                                          ,1994-03-02,1
239927,Im Ha-ryong                                                                                                                                           ,1952-10-31,2
1183807,Kim Min-gyu                                                                                                                                           ,1980-08-10,2
2074081,Lee Min-hyuk                                                                                                                                          ,1993-11-03,2
1912713,Oh Mi-yeon                                                                                                                                            ,1953-01-01,1
1715383,Jung Sang-hoon                                                                                                                                        ,1978-09-09,2
83628,Kim Young-jun                                                                                                                                         ,1968-04-08,2
1875666,Hwang Chi-yeul                                                                                                                                        ,1982-12-03,2
1632316,Choi Myung-gil                                                                                                                                        ,1962-10-15,1
118975,Choi Jae-Hwan                                                                                                                                         ,1983-07-15,2
1299344,Jeon Soo-kyung                                                                                                                                        ,1966-07-12,1
1607799,Lee Tae-seon                                                                                                                                          ,1993-07-16,2
2012472,Kim Dong-ha                                                                                                                                           ,1970-08-10,2
1347175,Kim Eui-sung                                                                                                                                          ,1965-12-17,2
2239782,Ryu Kyung-soo                                                                                                                                         ,1992-10-12,2
2222720,Song Min-hyung                                                                                                                                        ,1954-03-02,2
1140210,Park Sung-hoon                                                                                                                                        ,1985-02-18,2
1299288,Im Seul-ong                                                                                                                                           ,1987-05-11,2
224632,Kim Jeong-gyun                                                                                                                                        ,1965-10-13,2
1107788,Choi Cheol-ho                                                                                                                                         ,1970-03-02,2
564861,Hong So-hee                                                                                                                                           ,1984-08-19,1
1494834,Tae In-ho                                                                                                                                             ,1980-05-02,2
1929194,Hong Kyung                                                                                                                                            ,1996-02-14,2
135850,Kim Young-jae                                                                                                                                         ,1975-10-09,2
1694435,Park Myung-hoon                                                                                                                                       ,1975-05-28,2
1856377,Oh Dae-hwan                                                                                                                                           ,1979-07-05,2
1875691,Ahn Sol-bin                                                                                                                                           ,1997-08-19,1
1983679,Choi Han-bit                                                                                                                                          ,1987-06-16,1
1295457,Kang So-ra                                                                                                                                            ,1990-02-18,1
1307131,Kang Kyung-joon                                                                                                                                       ,1983-02-11,2
553705,Song Ok-suk                                                                                                                                           ,1960-08-14,1
2140937,Moon Soo-bin                                                                                                                                          ,1992-10-13,1
1499717,Ko Se-won                                                                                                                                             ,1977-12-13,2
2184678,Park Ah-in                                                                                                                                            ,1985-02-12,1
3209018,Lee Jong Hyuk                                                                                                                                         ,1997-06-23,2
1077924,Jang Yong-woo                                                                                                                                         ,1957-04-23,2
2449722,Shin Yoon-seop                                                                                                                                        ,1995-04-30,2
3399975,Jeong In-ji                                                                                                                                           ,1984-06-12,1
1294772,Hwang Byeong-guk                                                                                                                                      ,1968-08-22,2
138523,Kim Won-hee                                                                                                                                           ,1972-06-09,1
1488075,Kim Young-pil                                                                                                                                         ,1973-09-03,2
2098661,Kim Tae-min                                                                                                                                           ,1995-07-24,2
1252369,Daniel Choi                                                                                                                                           ,1986-02-22,2
2636514,Go Eun-yi                                                                                                                                             ,1988-02-27,1
1020859,Sung Dong-il                                                                                                                                          ,1967-04-27,2
1375944,Kim Dong-young                                                                                                                                        ,1988-04-23,2
1499985,Kang Seung-yoon                                                                                                                                       ,1994-01-21,2
2595116,Ju Ye Eun                                                                                                                                             ,1990-06-16,1
1620137,Shin Jung-hwan                                                                                                                                        ,1975-05-10,2
1080935,Youn Yuh-jung                                                                                                                                         ,1947-06-19,1
1251241,Han Jung-soo                                                                                                                                          ,1973-11-11,2
3244273,Seo Sung Hyuk                                                                                                                                         ,1999-08-26,2
2589093,Lee Hong-nae                                                                                                                                          ,1990-01-28,2
2481327,Choi Kyung-min                                                                                                                                        ,1996-04-21,1
1493019,Lee Gi-kwang                                                                                                                                          ,1990-03-30,2
3170664,Jung Soo Hyun                                                                                                                                         ,1997-03-05,2
553688,Oh Seung-eun                                                                                                                                          ,1979-02-08,1
3173274,Byeon Seo-yoon                                                                                                                                        ,1996-12-03,1
1547165,Seo In-young                                                                                                                                          ,1984-09-03,1
3575092,Kim Chan-hyung                                                                                                                                        ,1980-03-05,2
570708,Kim Hae-in                                                                                                                                            ,1985-11-08,1
2144177,Kim Jae-hyun                                                                                                                                          ,1994-07-15,2
2961123,Sun Woo Eun Sook                                                                                                                                      ,1959-12-24,1
1893926,Kang Yoo-seok                                                                                                                                         ,1994-06-10,2
2588206,Jang Ja-yeon                                                                                                                                          ,1980-01-25,1
1787992,Go Min-si                                                                                                                                             ,1995-02-15,1
69699,Kim Yu-seok                                                                                                                                           ,1967-01-01,2
144591,Kim Sae-ron                                                                                                                                           ,2000-07-31,1
16288,Lee Mi-sook                                                                                                                                           ,1960-04-02,1
543672,Lee Jae-ryong                                                                                                                                         ,1964-09-24,2
1623703,Park Hee-jin                                                                                                                                          ,1973-06-04,1
1875643,Kim So-hye                                                                                                                                            ,1999-07-19,1
1246931,Kim Gyu-ri                                                                                                                                            ,1979-08-16,1
1194671,Jeon Hye-jin                                                                                                                                          ,1988-06-17,1
3762395,Park Ye-ni                                                                                                                                            ,1993-08-11,1
1777776,Kim Sung-won                                                                                                                                          ,1936-01-02,2
1627269,Lee Yong-joo                                                                                                                                          ,1982-08-21,2
2372939,Son Jin-ho                                                                                                                                            ,1973-11-26,2
3167266,Kim Byeong-se                                                                                                                                         ,1962-09-26,2
1101373,Oh Ji-eun                                                                                                                                             ,1981-12-30,1
1425274,Moon Sook                                                                                                                                             ,1954-05-19,1
1623388,Kim Min-joo                                                                                                                                           ,1979-08-06,1
2159394,Kim Sung-kyu                                                                                                                                          ,1986-01-01,2
83012,Kim Ha-neul                                                                                                                                           ,1978-02-21,1
2144092,Jo Min-ah                                                                                                                                             ,2002-11-25,1
1235047,Lee Ji-hoon                                                                                                                                           ,1979-03-27,2
123818,Kwon Tae-won                                                                                                                                          ,1961-03-18,2
1235477,Hong Soo-hyun                                                                                                                                         ,1981-02-15,1
2326567,Shin Ji-Hoon                                                                                                                                          ,1988-04-28,2
1081890,Kim In-sik                                                                                                                                            ,1996-01-29,2
2522715,Lee Ji-hyeon                                                                                                                                          ,1972-10-20,1
1523043,Nana                                                                                                                                                  ,1991-09-14,1
1222950,Lim Ju-hwan                                                                                                                                           ,1982-05-18,2
3115884,Joakim Sorensen                                                                                                                                       ,1991-05-23,2
2235946,Jung In-gyeom                                                                                                                                         ,1968-04-09,2
1529849,Xiumin                                                                                                                                                ,1990-03-26,2
2222726,Cho Mi-nyeo                                                                                                                                           ,1991-10-07,1
3603071,Kil Eun-sung                                                                                                                                          ,1978-10-12,2
1182498,Han Ji-seung                                                                                                                                          ,1967-01-28,2
1332468,Heo Dong-won                                                                                                                                          ,1980-06-09,2
1238645,Jeon Ji-ae                                                                                                                                            ,1984-01-08,1
1805253,Park Sang-won                                                                                                                                         ,1959-04-05,2
1237976,Kim Tae-hee                                                                                                                                           ,1980-03-29,1
2283363,Sazal Mahamud                                                                                                                                         ,1995-06-22,2
1235053,Kim Hyun-ju                                                                                                                                           ,1964-10-16,1
1330450,Kim Joong-ki                                                                                                                                          ,1966-11-12,2
1910989,Lee Jae-Woo                                                                                                                                           ,1981-06-10,2
1293341,You Sa-Ra                                                                                                                                             ,1987-09-29,1
70337,Lee Eun-ju                                                                                                                                            ,1980-11-16,1
2054524,Lee Philip                                                                                                                                            ,1981-05-26,2
1772062,Hong Seo-young                                                                                                                                        ,1995-01-07,1
1752606,Kim Ki-Ri                                                                                                                                             ,1985-11-27,2
3244165,Kim Min-jung                                                                                                                                          ,1998-03-15,1
1940498,Park Yoon-jae                                                                                                                                         ,1981-01-14,2
2790263,Woo Mi-hwa                                                                                                                                            ,1974-02-24,1
571172,Park Jeong-min                                                                                                                                        ,1987-02-25,2
1983073,Park Gyu-young                                                                                                                                        ,1993-07-27,1
1255409,Kim Shi-hoo                                                                                                                                           ,1988-01-02,2
1912572,Ko Eun-min                                                                                                                                            ,1988-08-02,1
1420867,Cha Min-jee                                                                                                                                           ,1990-04-29,1
2097078,Jeon Jin-gi                                                                                                                                           ,1966-01-16,2
3686829,Han Seo Yeon                                                                                                                                          ,1986-02-07,1
1244834,Park Hae-jin                                                                                                                                          ,1983-05-01,2
1790739,Baek Seung-Heon                                                                                                                                       ,1991-04-03,2
1631996,Park Jin-woo                                                                                                                                          ,1973-03-20,2
2501178,Jang Jin-hee                                                                                                                                          ,1985-04-21,1
1329984,Lim Ji-yeon                                                                                                                                           ,1990-06-23,1
3128207,Kim Su-gyeom                                                                                                                                          ,2001-12-03,2
1908270,Lee Chang-hoon                                                                                                                                        ,1966-09-08,2
118978,Lee Eun-sung                                                                                                                                          ,1988-08-08,1
232018,Shim Hyung-tak                                                                                                                                        ,1977-12-04,2
1249318,Won Mi-kyung                                                                                                                                          ,1960-04-24,1
1220730,Jeong Da-bin                                                                                                                                          ,1980-03-04,1
240144,Kim Jae-joong                                                                                                                                         ,1986-01-26,2
2791233,Go Youn-jung                                                                                                                                          ,1996-04-22,1
1234599,Kim Hye-seong                                                                                                                                         ,1988-01-14,2
2720442,Baek Ji-won                                                                                                                                           ,1973-04-30,1
3244767,Nam Dae-jung                                                                                                                                          ,2000-06-14,2
1732763,Jang Hee-ryung                                                                                                                                        ,1993-11-11,1
2144710,Oh Jin-ha                                                                                                                                             ,1988-09-28,1
1246274,Choi Jin-sil                                                                                                                                          ,1968-12-24,1
2039484,Jung Moon-sung                                                                                                                                        ,1981-01-13,2
3141335,Kim Seo-kyung                                                                                                                                         ,1985-03-26,2
1210577,Kim Min-seo                                                                                                                                           ,1984-03-16,1
2369535,Park Shin-ah                                                                                                                                          ,1992-06-25,1
2839957,Joo Jong-hyuk                                                                                                                                         ,1991-07-27,2
2961987,Baek Jae-woo                                                                                                                                          ,1998-12-27,2
2939533,Choi Soo Rin                                                                                                                                          ,1974-12-25,1
3080472,Haruto                                                                                                                                                ,2004-04-05,2
1550916,Kang Dong-ho                                                                                                                                          ,1985-08-17,2
1233712,Son Chang-min                                                                                                                                         ,1965-04-24,2
118692,Kim Jae-won                                                                                                                                           ,1981-02-18,2
592256,Lee Se-eun                                                                                                                                            ,1980-08-31,1
1291040,Jeong Eun-Woo                                                                                                                                         ,1986-04-10,2
1875815,Lee Chang-sub                                                                                                                                         ,1991-02-26,2
3402503,Oh Hye-soo                                                                                                                                            ,1995-05-30,1
1638115,Kim Mi-ryeo                                                                                                                                           ,1982-06-13,1
2939496,Park Shi Woo                                                                                                                                          ,1997-02-07,1
83020,Song Seung-heon                                                                                                                                       ,1976-10-05,2
2037990,Moonbin                                                                                                                                               ,1998-01-26,2
2123187,Jung Yoo-Min                                                                                                                                          ,1991-07-10,1
3133990,Choe Chan Yi                                                                                                                                          ,1995-06-14,2
118667,Kim Hee-jung                                                                                                                                          ,1970-12-04,1
2133922,Jang Won-hyung                                                                                                                                        ,1988-07-11,2
1349146,Song Jae-rim                                                                                                                                          ,1985-02-18,2
1512476,Lee Won-keun                                                                                                                                          ,1991-06-27,2
75912,Kim Yoon-seok                                                                                                                                         ,1968-01-21,2
1929192,Cha Joo-young                                                                                                                                         ,1990-06-05,1
1246915,Lee Sung-min                                                                                                                                          ,1986-01-01,2
3045566,Kim Ro-sa                                                                                                                                             ,1974-05-01,1
3048228,Yoon Hyun-suk                                                                                                                                         ,2001-09-08,2
1142181,Jung Eun-chae                                                                                                                                         ,1986-11-24,1
1552970,Park Hyun-suk                                                                                                                                         ,1968-05-05,1
3389082,Lim Jae-hyeok                                                                                                                                         ,1994-05-06,2
2160328,Joo Woo-jae                                                                                                                                           ,1986-11-28,2
1519279,Julien Kang                                                                                                                                           ,1982-04-11,2
1243254,Ahn Jae-wook                                                                                                                                          ,1971-10-30,2
96634,Lee Han-wi                                                                                                                                            ,1961-06-17,2
17127,Jeong Seok-yong                                                                                                                                       ,1971-03-23,2
927756,Oh Youn-hong                                                                                                                                          ,1971-08-09,1
1505668,Lee In-hye                                                                                                                                            ,1981-02-21,1
1294962,Choi Gyu-hwan                                                                                                                                         ,1978-06-26,2
